tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,clean_tweets
Hey Prime Minister Trudeau - Your top doctor Theresa Tam told the entire country #Canada there’s no need to wear… https://t.co/aZZ0YC4PV5,1.25818444328781e+18,TOdiary,"Toronto, Ontario",,2020-05-06,1.0,,,Twitter for iPhone,hey prime minister trudeau top doctor theresa tam told entire country canada need wear https co azz yc pv
"RT @fred_guttenberg: You cannot make up just how much this President does not give a shit about anyone but himself.

His visit to the facem…",1.2581844381581844e+18,Alan Love,,,2020-05-06,0.0,,,Twitter for iPhone,rt fred guttenberg cannot make much president give shit anyone visit facem
RT @ClareJoSamBoo: Get my art printed on awesome products. Support me at Redbubble #RBandME:  https://t.co/W5pYxzYKQu #findyourthing #redbu…,1.258184399662846e+18,🌈ArtyTEESLondon,United Kingdom,,2020-05-06,0.0,,,Twitter for iPad,rt clarejosamboo get art printed awesome products support redbubble rbandme https co w pyxzykqu findyourthing redbu
Get my art printed on awesome products. Support me at Redbubble #RBandME:  https://t.co/W5pYxzYKQu #findyourthing… https://t.co/T1NN2RaeLH,1.2581843694973993e+18,🌈ArtyTEESLondon,United Kingdom,,2020-05-06,0.0,,,Twitter for iPad,get art printed awesome products support redbubble rbandme https co w pyxzykqu findyourthing https co nn raelh
@kswitch_noni @Ladijaji95 @AnnieSaliss He should also come and wear facemask for you or keep social distancing for… https://t.co/IQuGb94efX,1.2581841327541166e+18,Alexi_noni,"Lagos, Nigeria",,2020-05-06,1.0,,,Twitter for Android,kswitch noni ladijaji anniesaliss also come wear facemask keep social distancing https co iqugb efx
"RT @AnnieSaliss: But seriously,  I don't see anything wrong with what the NCDC boss said.
Its either some Nigerians lack common sense or ar…",1.2581840944181125e+18,Khali DG!,💰,,2020-05-06,0.0,,,Twitter for Android,rt anniesaliss seriously see anything wrong ncdc boss said either nigerians lack common sense ar
"RT @SuperSoftKnits: #FaceMask-#Set of 7 #Face #Masks #CottonFaceMask #three #layer #elastic #filterpocket #washable #reusable masks
https:/…",1.2581840870067814e+18,Cute small gifts,,,2020-05-06,0.0,,,Twitter for Android,rt supersoftknits facemask set face masks cottonfacemask three layer elastic filterpocket washable reusable masks https
"RT @AnnieSaliss: But seriously,  I don't see anything wrong with what the NCDC boss said.
Its either some Nigerians lack common sense or ar…",1.2581839663283446e+18,Bash Dangude,"Kaduna, Nigeria",,2020-05-06,0.0,,,Twitter for Android,rt anniesaliss seriously see anything wrong ncdc boss said either nigerians lack common sense ar
RT @AkeemBrowderNYC: Tomorrow join the Kalief Browder Foundation and New York Nurses Union in a action around COVID-19 related issues relat…,1.2581839448534712e+18,ed figueroa,,,2020-05-06,0.0,,,Twitter Web App,rt akeembrowdernyc tomorrow join kalief browder foundation new york nurses union action around covid related issues relat
"RT @AnnieSaliss: But seriously,  I don't see anything wrong with what the NCDC boss said.
Its either some Nigerians lack common sense or ar…",1.2581839390779515e+18,5💫🥇🔌,Heaven ,,2020-05-06,0.0,,,Twitter for iPhone,rt anniesaliss seriously see anything wrong ncdc boss said either nigerians lack common sense ar
RT @TylerGlaiel: need a better facemask to put this thing in but the proof of concept is working for now! https://t.co/elxf5rof8S,1.2581839321531556e+18,Ryan Knuth,"Ottawa, Canada",,2020-05-06,0.0,,,Twitter for iPhone,rt tylerglaiel need better facemask put thing proof concept working https co elxf rof
Sorry so distant... Been developing a karaoke facemask. https://t.co/EVZdhnoo54,1.2581838559592366e+18,Mr. Wizard At Home,Las Vegas USA,,2020-05-06,5.0,,,Twitter for Android,sorry distant developing karaoke facemask https co evzdhnoo
"RT @BATKEIART: 😸🙌🏻SOLD! Thank you!❤️ Cat loves a bike cloth face mask cover by BATKEI

Click to Shop &gt;&gt;
https://t.co/LFV6Ej5Ta2

@zazzle #z…",1.2581838202154967e+18,Maiko,"Staten Island, NY",,2020-05-06,0.0,,,Twitter for iPhone,rt batkeiart sold thank cat loves bike cloth face mask cover batkei click shop https co lfv ej ta zazzle z
Gonna cop a few Marathon facemask just to support...,1.2581837977883894e+18,Fat Thor,,,2020-05-06,0.0,,,Twitter for Android,gonna cop marathon facemask support
RT @Barnacules: Hey @LinusTech I’ve converted your underwear into a practical yet stylish #coronavirus #facemask so you can get some “sick”…,1.258183762115887e+18,Yoshi,,,2020-05-06,0.0,,,Twitter for Android,rt barnacules hey linustech converted underwear practical yet stylish coronavirus facemask get sick
RT @PhantomEagleTTV: Can’t wait to see people with FaceMask tan lines 😂,1.2581837470794138e+18,MzALyn👑,,,2020-05-06,0.0,,,Twitter for Android,rt phantomeaglettv wait see people facemask tan lines
"can we return to our normal lives?
-
a #woman wearing a #facemask pours beer from a tap as Italy begins a staged en… https://t.co/g7dGJd8ONA",1.2581835897049948e+18,Tamer Yazar,Turkey-Israel,,2020-05-06,0.0,,,TweetDeck,return normal lives woman wearing facemask pours beer tap italy begins staged en https co g dgjd ona
"RT @AnnieSaliss: But seriously,  I don't see anything wrong with what the NCDC boss said.
Its either some Nigerians lack common sense or ar…",1.2581835859509903e+18,Mansa_Ayobami,"Lagos, Nigeria",,2020-05-06,0.0,,,Twitter for iPhone,rt anniesaliss seriously see anything wrong ncdc boss said either nigerians lack common sense ar
"RT @lqdino_: This is me wearing a facemask.

#SEVENTEEN #WONWOO #원우 #세븐틴 @pledis_17 https://t.co/QZEti9kduj",1.25818352656393e+18,[𝚃𝚑𝚎 𝙼𝚘𝚖𝚎𝚗𝚝 𝚘𝚏 𝙸𝚕𝚕𝚞𝚜𝚒𝚘𝚗],,,2020-05-06,0.0,,,Twitter for Android,rt lqdino wearing facemask seventeen wonwoo pledis https co qzeti kduj
RT @Barnacules: Hey @LinusTech I’ve converted your underwear into a practical yet stylish #coronavirus #facemask so you can get some “sick”…,1.258183518036861e+18,ZakSharief,,,2020-05-06,0.0,,,Twitter Web App,rt barnacules hey linustech converted underwear practical yet stylish coronavirus facemask get sick
"RT @AdilNajam: I #MaskUp😷
You should too. Please
For all our sakes🦠

Featuring my homemade @WWFPak
bandana-turned-facemask

♻️ReUse ♻️Repur…",1.2581834437723914e+18,Sumbal Naqi,Canada,,2020-05-06,0.0,,,Twitter for iPad,rt adilnajam maskup please sakes featuring homemade wwfpak bandana turned facemask reuse repur
"RT @kiss: Have you gotten your KISS Facemask yet? 100% of KISS’ proceeds are donated to Crew Nation, @LiveNation's Global Relief Fund for L…",1.25818342586692e+18,🌹りえ🌹,,,2020-05-06,0.0,,,Twitter for Android,rt kiss gotten kiss facemask yet kiss proceeds donated crew nation livenation global relief fund l
