,tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,gps
3799,"Zakia Miami Hand Sanitizer with Pure Argan Oil is Proudly ""Made in the USA"" at Our FDA-Registered ZMcare® Organic L… https://t.co/idBbSckVzU",1.2595864172415263e+18,ZMcare ®,Miami,,2020-05-10,14.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='113721dd6dd79001', url='https://api.twitter.com/1.1/geo/id/113721dd6dd79001.json', place_type='poi', name='Zakia Miami', full_name='Zakia Miami', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662]]]), attributes={})",Twitter for iPhone,"[26.275662, -80.096419]"
3804,"Have You Been Buying Watery Chinese (Made in PRC), Mexican or Turkish Hand Sanitizer From Unknown Sources Which Sme… https://t.co/kEyeK7t3Pk",1.2595848117542748e+18,Zakia Miami ®,Miami,,2020-05-10,14.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='113721dd6dd79001', url='https://api.twitter.com/1.1/geo/id/113721dd6dd79001.json', place_type='poi', name='Zakia Miami', full_name='Zakia Miami', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662]]]), attributes={})",Twitter for iPhone,"[26.275662, -80.096419]"
3808,"Preparing for our re-opening. We are prepared, as we always have been, to start seeing our great patients again.… https://t.co/sdhw6vaRXf",1.259564166756655e+18,John Scalas,"Long Beach, Ca","{'type': 'Point', 'coordinates': [-118.06312, 33.8281]}",2020-05-10,0.0,"{'type': 'Point', 'coordinates': [33.8281, -118.06312]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='a077793faceeda6f', url='https://api.twitter.com/1.1/geo/id/a077793faceeda6f.json', place_type='city', name='Cypress', full_name='Cypress, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.0632981, 33.791963], [-118.010668, 33.791963], [-118.010668, 33.8458557], [-118.0632981, 33.8458557]]]), attributes={})",Instagram,"[33.81890935, -118.03698305]"
3831,"An offer you’ll love ❤️❤️❤️

https://t.co/ORtbxfXuoO

#Vegan #veganism #veganbeauty #veganlife #ethicalbeauty… https://t.co/aQJzTZ44FP",1.2595199198358118e+18,SOAK BOX England Ltd,"Derbyshire, United Kingdom",,2020-05-10,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='6416b8512febefc9', url='https://api.twitter.com/1.1/geo/id/6416b8512febefc9.json', place_type='country', name='United Kingdom', full_name='United Kingdom', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-8.662663, 49.1626564], [1.768926, 49.1626564], [1.768926, 60.86165], [-8.662663, 60.86165]]]), attributes={})",Twitter for iPhone,"[55.0121532, -3.4468685]"
3840,"กรี๊ดดดดด‼️
ooเดoร์เข้ารัวๆๆคร้าา🎉🎉🎉🎉🎉 https://t.co/kpDpF2nBpB
#ต้องดีที่สุด #alchohol #alchoholgel #handsanitizer… https://t.co/0m96Piog6E",1.2595047875165798e+18,Leeya Rattiya,"จ.ภูเก็ต, ประเทศไทย",,2020-05-10,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='00e4fcc3053a576b', url='https://api.twitter.com/1.1/geo/id/00e4fcc3053a576b.json', place_type='city', name='Nong Kae', full_name='Nong Kae, Thailand', country_code='TH', country='Thailand', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[102.2959258, 17.0696988], [102.3064018, 17.0696988], [102.3064018, 17.0841157], [102.2959258, 17.0841157]]]), attributes={})",Twitter for iPhone,"[17.07690725, 102.30116380000001]"
3854,"Lavender Lemon Drop | Hanitizer
.
#jackspicerreport #handsanitizer #homemade #dc #handmade #igers #blackowned… https://t.co/Zn0ul80noj",1.2594821894078874e+18,Jack Spicer Report,"Washington, DC",,2020-05-10,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='01fbe706f872cb32', url='https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', place_type='city', name='Washington', full_name='Washington, DC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]), attributes={})",Twitter for iPhone,"[38.89860285, -77.0143985]"
3879,Stopped by @thedubhglasd for some @noteworthygin and their newly released #singlemalt #whisky #ylw #spirits Thanks… https://t.co/5JG3BUp0ce,1.259246166585344e+18,David,Calgary,"{'type': 'Point', 'coordinates': [-119.52532768, 49.24444427]}",2020-05-09,2.0,"{'type': 'Point', 'coordinates': [49.24444427, -119.52532768]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='633152b21bf281f1', url='https://api.twitter.com/1.1/geo/id/633152b21bf281f1.json', place_type='city', name='Okanagan-Similkameen C', full_name='Okanagan-Similkameen C, British Columbia', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-119.676518, 49.081029], [-119.17567, 49.081029], [-119.17567, 49.341887], [-119.676518, 49.341887]]]), attributes={})",Instagram,"[49.21145799999999, -119.426094]"
3908,Reusable industrial PUMP good for 2 years of refills #HandSanitizer #HandHygiene https://t.co/8vhiUBsimp,1.2592151850610524e+18,Zakia Miami ®,Miami,,2020-05-09,12.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='113721dd6dd79001', url='https://api.twitter.com/1.1/geo/id/113721dd6dd79001.json', place_type='poi', name='Zakia Miami', full_name='Zakia Miami', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662], [-80.096419, 26.275662]]]), attributes={})",Twitter for iPhone,"[26.275662, -80.096419]"
3910,"In between filling bottles of #handsanitizer and selling our spirits #curbside, we’ve filled our fermenter full of… https://t.co/GJES5EZp1U",1.259213257916678e+18,Nashville Craft,"Nashville, Tennessee","{'type': 'Point', 'coordinates': [-86.772124, 36.140987]}",2020-05-09,2.0,"{'type': 'Point', 'coordinates': [36.140987, -86.772124]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='00ab941b685334e3', url='https://api.twitter.com/1.1/geo/id/00ab941b685334e3.json', place_type='city', name='Nashville', full_name='Nashville, TN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]]), attributes={})",Instagram,"[36.20000805, -86.791549]"
3928,Do you have what is needed to be safe ? shield yourself and family with these essentials click bio to shop… https://t.co/sO9a2kdHap,1.2591895037319455e+18,Rocio Zegarra,"Queens, NY","{'type': 'Point', 'coordinates': [-74.0064, 40.7142]}",2020-05-09,0.0,"{'type': 'Point', 'coordinates': [40.7142, -74.0064]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})",Instagram,"[40.780709, -73.9685415]"
